kwp,category,feedback,needss_met,feelings_guesses,needs_guesses
always,absolutes,na,na,na,na
never,absolutes,na,na,na,na
total,absolutes,na,na,na,na
all the time,absolutes,na,na,na,na
disrespectful,evaluations,na,na,na,na
shout,evaluations,na,na,na,na
slam,evaluations,na,na,na,na
softly,evaluations,na,na,na,na
ugly,evaluations,na,na,na,na
yell,evaluations,na,na,na,na
feel like,evaluations,something in me feels,na,na,na
when you are,evaluations,na,na,na,na
i am,evaluations,"you are not defined by what you feel; try instead saying ""I notice something in me that feels bla""",na,na,na
talk back,evaluations,na,na,na,na
absorbed,feelings,na,yes,na,na
AFFECTIONATE,feelings,na,yes,na,na
AFRAID,feelings,na,no,na,na
aggravated,feelings,na,no,na,na
agitated,feelings,na,no,na,na
agony,feelings,na,no,na,na
alarmed,feelings,na,no,na,na
alert,feelings,na,yes,na,na
alienated,feelings,na,no,na,na
aloof,feelings,na,no,na,na
amazed,feelings,na,yes,na,na
ambivalent,feelings,na,no,na,na
amused,feelings,na,yes,na,na
ANGRY,feelings,na,no,na,na
anguished,feelings,na,no,na,na
animated,feelings,na,yes,na,na
animosity,feelings,na,no,na,na
ANNOYED,feelings,na,no,na,na
anxious,feelings,na,no,na,na
apathetic,feelings,na,no,na,na
appalled,feelings,na,no,na,na
appreciative,feelings,na,yes,na,na
apprehensive,feelings,na,no,na,na
ardent,feelings,na,yes,na,na
aroused,feelings,na,yes,na,na
ashamed,feelings,na,no,na,na
astonished,feelings,na,yes,na,na
AVERSION,feelings,na,no,na,na
awed,feelings,na,yes,na,na
baffled,feelings,na,no,na,na
beat,feelings,na,no,na,na
bereaved,feelings,na,no,na,na
bewildered,feelings,na,no,na,na
blissful,feelings,na,yes,na,na
bored,feelings,na,no,na,na
burnt out,feelings,na,no,na,na
calm,feelings,na,yes,na,na
centered,feelings,na,yes,na,na
chagrined,feelings,na,no,na,na
clear headed,feelings,na,yes,na,na
cold,feelings,na,no,na,na
comfortable,feelings,na,yes,na,na
compassionate,feelings,na,yes,na,na
CONFIDENT,feelings,na,yes,na,na
CONFUSED,feelings,na,no,na,na
contempt,feelings,na,no,na,na
content,feelings,na,yes,na,na
cranky,feelings,na,no,na,na
curious,feelings,na,yes,na,na
dazed,feelings,na,no,na,na
dazzled,feelings,na,yes,na,na
dejected,feelings,na,no,na,na
delighted,feelings,na,yes,na,na
depleted,feelings,na,no,na,na
depressed,feelings,na,no,na,na
despair,feelings,na,no,na,na
despondent,feelings,na,no,na,na
detached,feelings,na,no,na,na
devastated,feelings,na,no,na,na
disappointed,feelings,na,no,na,na
discombobulated,feelings,na,no,na,na
disconcerted,feelings,na,no,na,na
DISCONNECTED,feelings,na,no,na,na
discouraged,feelings,na,no,na,na
disgruntled,feelings,na,no,na,na
disgusted,feelings,na,no,na,na
disheartened,feelings,na,no,na,na
dislike,feelings,na,no,na,na
dismayed,feelings,na,no,na,na
displeased,feelings,na,no,na,na
DISQUIET,feelings,na,no,na,na
distant,feelings,na,no,na,na
distracted,feelings,na,no,na,na
distraught,feelings,na,no,na,na
distressed,feelings,na,no,na,na
disturbed,feelings,na,no,na,na
dread,feelings,na,no,na,na
eager,feelings,na,yes,na,na
ecstatic,feelings,na,yes,na,na
edgy,feelings,na,no,na,na
elated,feelings,na,yes,na,na
EMBARRASSED,feelings,na,no,na,na
empowered,feelings,na,yes,na,na
enchanted,feelings,na,yes,na,na
encouraged,feelings,na,yes,na,na
energetic,feelings,na,yes,na,na
ENGAGED,feelings,na,yes,na,na
engrossed,feelings,na,yes,na,na
enlivened,feelings,na,yes,na,na
enraged,feelings,na,no,na,na
enthralled,feelings,na,yes,na,na
enthusiastic,feelings,na,yes,na,na
entranced,feelings,na,yes,na,na
envious,feelings,na,no,na,na
equanimous,feelings,na,yes,na,na
exasperated,feelings,na,no,na,na
EXCITED,feelings,na,yes,na,na
exhausted,feelings,na,no,na,na
EXHILARATED,feelings,na,yes,na,na
expectant,feelings,na,yes,na,na
exuberant,feelings,na,yes,na,na
fascinated,feelings,na,yes,na,na
FATIGUE,feelings,na,no,na,na
fidgety,feelings,na,no,na,na
flustered,feelings,na,no,na,na
foreboding,feelings,na,no,na,na
forlorn,feelings,na,no,na,na
fragile,feelings,na,no,na,na
frazzled,feelings,na,no,na,na
friendly,feelings,na,yes,na,na
frightened,feelings,na,no,na,na
frustrated,feelings,na,no,na,na
fulfilled,feelings,na,yes,na,na
furious,feelings,na,no,na,na
giddy,feelings,na,yes,na,na
glad,feelings,na,yes,na,na
gloomy,feelings,na,no,na,na
GRATEFUL,feelings,na,yes,na,na
grief,feelings,na,no,na,na
guarded,feelings,na,no,na,na
guilty,feelings,na,no,na,na
happy,feelings,na,yes,na,na
hate,feelings,na,no,na,na
heartbroken,feelings,na,no,na,na
heavy hearted,feelings,na,no,na,na
helpless,feelings,na,no,na,na
hesitant,feelings,na,no,na,na
HOPEFUL,feelings,na,yes,na,na
hopeless,feelings,na,no,na,na
horrified,feelings,na,no,na,na
hostile,feelings,na,no,na,na
hurt,feelings,na,no,na,na
impatient,feelings,na,no,na,na
incensed,feelings,na,no,na,na
indifferent,feelings,na,no,na,na
indignant,feelings,na,no,na,na
insecure,feelings,na,no,na,na
INSPIRED,feelings,na,yes,na,na
interested,feelings,na,yes,na,na
intrigued,feelings,na,yes,na,na
invigorated,feelings,na,yes,na,na
involved,feelings,na,yes,na,na
irate,feelings,na,no,na,na
irked,feelings,na,no,na,na
irritable,feelings,na,no,na,na
irritated,feelings,na,no,na,na
jealous,feelings,na,no,na,na
jittery,feelings,na,no,na,na
JOYFUL,feelings,na,yes,na,na
jubilant,feelings,na,yes,na,na
leery,feelings,na,no,na,na
lethargic,feelings,na,no,na,na
listless,feelings,na,no,na,na
lively,feelings,na,yes,na,na
livid,feelings,na,no,na,na
lonely,feelings,na,no,na,na
longing,feelings,na,no,na,na
lost,feelings,na,no,na,na
loving,feelings,na,yes,na,na
melancholy,feelings,na,no,na,na
mellow,feelings,na,yes,na,na
miserable,feelings,na,no,na,na
mistrustful,feelings,na,no,na,na
mortified,feelings,na,no,na,na
moved,feelings,na,yes,na,na
mystified,feelings,na,no,na,na
nervous,feelings,na,no,na,na
nostalgic,feelings,na,no,na,na
numb,feelings,na,no,na,na
open,feelings,na,yes,na,na
open hearted,feelings,na,yes,na,na
optimistic,feelings,na,yes,na,na
outraged,feelings,na,no,na,na
overwhelmed,feelings,na,no,na,na
PAIN,feelings,na,no,na,na
panicked,feelings,na,no,na,na
passionate,feelings,na,yes,na,na
PEACEFUL,feelings,na,yes,na,na
perplexed,feelings,na,no,na,na
perturbed,feelings,na,no,na,na
petrified,feelings,na,no,na,na
pining,feelings,na,no,na,na
pleased,feelings,na,yes,na,na
proud,feelings,na,yes,na,na
puzzled,feelings,na,no,na,na
quiet,feelings,na,yes,na,na
radiant,feelings,na,yes,na,na
rapturous,feelings,na,yes,na,na
rattled,feelings,na,no,na,na
REFRESHED,feelings,na,yes,na,na
regretful,feelings,na,no,na,na
rejuvenated,feelings,na,yes,na,na
relaxed,feelings,na,yes,na,na
relieved,feelings,na,yes,na,na
remorseful,feelings,na,no,na,na
removed,feelings,na,no,na,na
renewed,feelings,na,yes,na,na
repulsed,feelings,na,no,na,na
resentful,feelings,na,no,na,na
reserved,feelings,na,no,na,na
rested,feelings,na,yes,na,na
restless,feelings,na,no,na,na
restored,feelings,na,yes,na,na
revived,feelings,na,yes,na,na
SAD,feelings,na,no,na,na
safe,feelings,na,yes,na,na
satisfied,feelings,na,yes,na,na
scared,feelings,na,no,na,na
secure,feelings,na,yes,na,na
self‐conscious,feelings,na,no,na,na
sensitive,feelings,na,no,na,na
serene,feelings,na,yes,na,na
shaky,feelings,na,no,na,na
shocked,feelings,na,no,na,na
sleepy,feelings,na,no,na,na
spellbound,feelings,na,yes,na,na
startled,feelings,na,no,na,na
still,feelings,na,yes,na,na
stimulated,feelings,na,yes,na,na
stressed out,feelings,na,no,na,na
surprised,feelings,na,no,na,na
surprised,feelings,na,yes,na,na
suspicious,feelings,na,no,na,na
sympathetic,feelings,na,yes,na,na
tender,feelings,na,yes,na,na
TENSE,feelings,na,no,na,na
terrified,feelings,na,no,na,na
thankful,feelings,na,yes,na,na
thrilled,feelings,na,yes,na,na
tickled,feelings,na,yes,na,na
tired,feelings,na,no,na,na
torn,feelings,na,no,na,na
touched,feelings,na,yes,na,na
tranquil,feelings,na,yes,na,na
troubled,feelings,na,no,na,na
trusting,feelings,na,yes,na,na
turbulent,feelings,na,no,na,na
turmoil,feelings,na,no,na,na
uncomfortable,feelings,na,no,na,na
uneasy,feelings,na,no,na,na
unhappy,feelings,na,no,na,na
uninterested,feelings,na,no,na,na
unnerved,feelings,na,no,na,na
unsettled,feelings,na,no,na,na
upset,feelings,na,no,na,na
vibrant,feelings,na,yes,na,na
VULNERABLE,feelings,na,no,na,na
warm,feelings,na,yes,na,na
wary,feelings,na,no,na,na
weary,feelings,na,no,na,na
wistful,feelings,na,no,na,na
withdrawn,feelings,na,no,na,na
wonder,feelings,na,yes,na,na
worn out,feelings,na,no,na,na
worried,feelings,na,no,na,na
wretched,feelings,na,no,na,na
YEARNING,feelings,na,no,na,na
Abandoned,fofeelings,na,na,"Terrified, Lonely, Sad, Frightened","Nurturing, Connection, Belonging, Support, Care"
Abused,fofeelings,na,na,"Angry, Frustrated, Frightened, Scared","Caring, Nurturing, Support, Well-Being"
Antagonistic,fofeelings,na,na,"Angry, Grouchy","Trust, Hope, Choice, Possibilities"
Attacked,fofeelings,na,na,"Scared, Angry",Safety
Belittled,fofeelings,na,na,"Angry, Frustrated, Tense, Distressed","Respect, Autonomy, To Be Seen, Acknowledgement"
Betrayed,fofeelings,na,na,"Angry, Sad, Enraged","Trust, Honesty, Care, To Matter"
Blamed,fofeelings,na,na,"Angry, Scared, Confused, Sad","Trust, Responsibility, Care, To Be Seen, To Matter"
Bothered,fofeelings,na,na,"Frustrated, Tense, Distressed","Care, Trust"
Bullied,fofeelings,na,na,"Angry, Sacred, Confused","Safety, Power, Acceptance, Care"
Cheated,fofeelings,na,na,"Angry, Resentful, Fear","Trust, Honesty, Care, To Matter"
Coerced,fofeelings,na,na,"Angry, Frustrated, Frightened, Scared","Choice, Autonomy, Freedom,"
Cornered,fofeelings,na,na,"Angry, Scared, Anxious","Autonomy, Freedom, Choice"
Criticized,fofeelings,na,na,"Angry, Scared, Anxious","Understanding, To Be Seen, Acknowledgment, Acceptance"
Defiant,fofeelings,na,na,"Angry, Agrovated, Annoyed","Respect, Autonomy, Independence, Choice, Space, Power"
Disappointed,fofeelings,na,na,"Sad, Frightened, Angry","Predicability, Trust, Respect, Hope, Care, Possibilities"
Disbelief,fofeelings,na,na,Surprised,
Discounted,fofeelings,na,na,"Uncomfortable, Frustrated, Sad","To Matter, Care, Inclusion, To Be Seen"
Disliked,fofeelings,na,na,"Sad, Lonely, Angry, Resentful","Connection, Appreciation, Acceptance, To Matter"
Distrustful,fofeelings,na,na,"Hesitant, Apprehensive, Frightened","Trust, Honesty, Respect, Care, To Matter"
Dumped On,fofeelings,na,na,"Angry, Shocked, Scared","Respect, Consideration, Awareness, Responsibility, Choice"
Embarassed,fofeelings,na,na,"Uncomfortable, Frustrated, Sad","Acceptance, Trust, Understanding"
Guilty,fofeelings,na,na,"Uncomfortable, Scared, Angry","Understanding, To Be Seen, Acceptance"
Harrassed,fofeelings,na,na,"Overwhelmed, Sad, Frustrated, Angry","Repsect, Space, Consideration, Peace"
Hasseled,fofeelings,na,na,"Overwhelmed, Sad, Frustrated, Angry","Repsect, Space, Consideration, Peace"
Hostile,fofeelings,na,na,"Angry, Scared","Respect, Choice, Care, Power"
Humiliated,fofeelings,na,na,"Shame, Fear, Uncomfortable, Angry","Care, Love, Respect, Choice"
Hurt,fofeelings,na,na,"Scared, Sad, Angry, Upset","Care, Understanding, Love, Consideration"
Ignored,fofeelings,na,na,"Lonely, Scared, Sad, Anxious","Connection, Inclusion, Respect, Belonging, Community"
Impotent,fofeelings,na,na,"Scared, Hopeless, Angry","Hope, Power, Choice"
Insulted,fofeelings,na,na,"Angry, Scared","Respect, Care, To Be Seen, To Matter, Acknowledgement"
Interupted,fofeelings,na,na,"Frustrated, Angry, Resentful","Respect, Consideration, Care, Self Expression"
Intimidated,fofeelings,na,na,"Scared, Angry, Upset","Safety, Choice, Power"
Invalidated,fofeelings,na,na,"Angry, Resentful, Scared","Appreciated, Respect, Acknowledgement, To Be Seen"
Invisable,fofeelings,na,na,"Lonely, Scared, Sad, Anxious","Connection, Inclusion, Respect, Belonging, Community"
Isolated,fofeelings,na,na,"Lonely, Angry, Scared","Community, Belonging, Inclusion, Care, To Matter"
Left Out,fofeelings,na,na,"Lonely, Scared, Sad, Anxious","Connection, Inclusion, Respect, Belonging, Community"
Let Down,fofeelings,na,na,"Sad, Frightened, Angry","Predicability, Trust, Respect, Hope, Care, Possibilities"
Manipulated,fofeelings,na,na,"Angry, Scared, Frustrated","Autonomy, Trust, Respect, Choice, Care"
Mistrusted,fofeelings,na,na,"Sad, Angry, Dispair","Trust, Understanding, To Be Seen"
Misunderstood,fofeelings,na,na,"Angry, Upset, Frustrated, Scared","Understanding, Trust, To Be Heard, Clarity"
Neglected,fofeelings,na,na,"Lonely, Angry, Scared","Connection, Inclusion, Belonging, Acceptance"
Not Accepted,fofeelings,na,na,"Upset, Scared, Lonely","Inclusion, Connection, Community, Belonging"
Outraged,fofeelings,na,na,"Angry, Enraged, Terrified","Trust, Respect, Care, To Matter"
Overpowered,fofeelings,na,na,"Angry, Helpless, Terrified, Anxious","Safety, Choice, Power, Respect, Care"
Overworked,fofeelings,na,na,"Angry, Resentful, Tired, Anxious","Respect, Care, Support, Rest, Balance, Choice"
Patronized,fofeelings,na,na,"Angry, Resentful","Respect, Trust, Safety, Choice, Power"
Powerless,fofeelings,na,na,"Hopeless, Scared, Angry","Power, Choice, Hope, Well-Being, Trust, Possibilites"
Pressured,fofeelings,na,na,"Angry, Overwhelmed, Anxious","Choice, Autonomy, Ease, Space, Respect"
Provoked,fofeelings,na,na,"Angry, Resentful, Agrovated","Respect, Choice, Care, Peace"
Put Down,fofeelings,na,na,"Angry, Sad, Scared","Respect, Understanding, To Be Seen, Care, Awareness"
Rejected,fofeelings,na,na,"Angry, Scared, Resentful, Upset","Belonging, Understanding, Acceptance, To Be Seen"
Ripped off,fofeelings,na,na,"Angry, Resentful, Scared, Hopeless","Respect, Care, Choice, Power, Integrity"
Screwed,fofeelings,na,na,"Angry, Resentful, Scared, Hopeless","Respect, Care, Choice, Power, Integrity"
Smothered,fofeelings,na,na,"Frustrated, Scared","Space, Choice, Freedom, Automomy"
Suffocated,fofeelings,na,na,"Frustrated, Scared","Space, Choice, Freedom, Automomy"
Taken for Granted,fofeelings,na,na,"Angry, Sad, Upset, Hopeless","Appreciation, Respect, Care, To Be Seen, To Matter, Love"
Threatened,fofeelings,na,na,"Angry, Scared, Frightened, Hopeless","Safety, Choice, Respect, Care, Power"
Thwarted,fofeelings,na,na,"Frustrated, Angry, Scared, Hopeless","Choice, Power, Hope, Respect, Care, Possibilities"
Trampled,fofeelings,na,na,"Angry, Frustrated, Overwhelmed","Care, Respect, Connection, To Be Heard"
Trapped,fofeelings,na,na,"Angry, Scared, Hopeless","Choice, Power, Hope, Respect, Care, Possibilities"
Tricked,fofeelings,na,na,"Angry, Resentful, Uncomfortable","Trust, Honesty, Choice, Care, Integrity"
Unappreciated,fofeelings,na,na,"Angry, Frustrated, Sad, Upset","Apprecation, Respect, To Be Seen, Acknowledgement, Care"
Unloved,fofeelings,na,na,"Sad, Angry, Dispair","Love, Care, To Matter, Hope"
Unwanted,fofeelings,na,na,"Sad, Angry, Scared, Dispair","To Matter, Love, Belonging, Care"
Used,fofeelings,na,na,"Angry, Scared, Upset","Respect, Care, Love"
Victimized,fofeelings,na,na,"Angry, Scared, Hopeless, Terrified","Safelty, Choice, Respect, Power, Hope"
Wronged,fofeelings,na,na,"Angry, Scared, Hopeless, Terrified","Safelty, Choice, Respect, Power, Hope"
acceptance,needs,na,na,na,na
affection,needs,na,na,na,na
air,needs,na,na,na,na
appreciation,needs,na,na,na,na
authenticity,needs,na,na,na,na
AUTONOMY,needs,na,na,na,na
awareness,needs,na,na,na,na
beauty,needs,na,na,na,na
belonging,needs,na,na,na,na
celebration of,needs,na,na,na,na
challenge,needs,na,na,na,na
choice,needs,na,na,na,na
clarity,needs,na,na,na,na
closeness,needs,na,na,na,na
communication,needs,na,na,na,na
communion,needs,na,na,na,na
community,needs,na,na,na,na
companionship,needs,na,na,na,na
compassion,needs,na,na,na,na
competence,needs,na,na,na,na
CONNECTION,needs,na,na,na,na
consciousness,needs,na,na,na,na
consideration,needs,na,na,na,na
consistency,needs,na,na,na,na
contribution,needs,na,na,na,na
cooperation,needs,na,na,na,na
creativity,needs,na,na,na,na
discovery,needs,na,na,na,na
ease,needs,na,na,na,na
effectiveness,needs,na,na,na,na
efficacy,needs,na,na,na,na
empathy,needs,na,na,na,na
equality,needs,na,na,na,na
exercise,needs,na,na,na,na
expression,needs,na,na,na,na
food,needs,na,na,na,na
freedom,needs,na,na,na,na
growth,needs,na,na,na,na
harmony,needs,na,na,na,na
HONESTY,needs,na,na,na,na
hope,needs,na,na,na,na
humor,needs,na,na,na,na
inclusion,needs,na,na,na,na
independence,needs,na,na,na,na
inspiration,needs,na,na,na,na
integrity,needs,na,na,na,na
intimacy,needs,na,na,na,na
joy,needs,na,na,na,na
learning,needs,na,na,na,na
life,needs,na,na,na,na
love,needs,na,na,na,na
MEANING,needs,na,na,na,na
mourning,needs,na,na,na,na
movement,needs,na,na,na,na
mutuality,needs,na,na,na,na
nurturing,needs,na,na,na,na
order,needs,na,na,na,na
participation,needs,na,na,na,na
PEACE,needs,na,na,na,na
PLAY,needs,na,na,na,na
presence,needs,na,na,na,na
purpose,needs,na,na,na,na
respect,needs,na,na,na,na
rest,needs,na,na,na,na
safety,needs,na,na,na,na
security,needs,na,na,na,na
self-expression,needs,na,na,na,na
sexual-expression,needs,na,na,na,na
shelter,needs,na,na,na,na
sleep,needs,na,na,na,na
space,needs,na,na,na,na
spontaneity,needs,na,na,na,na
stability,needs,na,na,na,na
stimulation,needs,na,na,na,na
support,needs,na,na,na,na
to matter,needs,na,na,na,na
touch,needs,na,na,na,na
trust,needs,na,na,na,na
understanding,needs,na,na,na,na
warmth,needs,na,na,na,na
water,needs,na,na,na,na
to be seen,needs,na,na,na,na
to be known,needs,na,na,na,na
to be heard,needs,na,na,na,na
make me,thoughts,no one can make us anything,na,na,na
need you to,thoughts,our needss are our own; they exist within us and our unmet needss are no one's responsibility but our own,,,
why are you,thoughts,na,na,na,na
like that,thoughts,na,na,na,na
you need to,thoughts,na,na,na,na
do not care,thoughts,na,na,na,na
can not believe,thoughts,na,na,disbelief,na
talk back,thoughts,na,na,na,na
mad,fofeelings,na,na,anger,na